Sample_No,Site,Date,avg_n1,QDI_n1,avg_PMMoV,QDI_PMMoV
181,MSD02,8/18/20,32.41959413,1,265940.8801,1
184,MSD03,8/18/20,174.0150757,1,1386869.975,1
185,MSD04,8/18/20,43.85396288,1,318127.1748,1
186,MSD05,8/18/20,72.2086704,1,359400.9916,1
44060,MSD01,8/17/20,17.74391583,1,101673.5019,1
44061,MSD01,8/18/20,48.51282048,1,73439.82922,1
44062,MSD01,8/19/20,16.68763348,1,30655.5996,1
44063,MSD01,8/20/20,17.53248238,1,10104.22944,1
196,MSD02,8/25/20,343.1730379,1,1534991.211,1
199,MSD03,8/25/20,50.26025641,1,937220.1638,1
200,MSD04,8/25/20,156.0783456,1,15072461.4,1
201,MSD05,8/25/20,80.30758793,1,224955.4185,1
44067,MSD01,8/24/20,51.24212512,1,651165.7442,1
44068,MSD01,8/25/20,43.30467578,1,422264.6146,1
44069,MSD01,8/26/20,99.87854331,1,228667.2904,1
44074,MSD01,8/27/20,25.09663282,1,226859.0535,1
211,MSD02,9/1/20,6.511925017,88,139526.7304,1
214,MSD03,9/1/20,4.465332723,88,156812.8358,1
215,MSD04,9/1/20,3.175954799,88,99690.8673,1
216,MSD05,9/1/20,5.536129404,88,248375.983,1
44074,MSD01,8/31/20,12.5265406,1,127179.7738,1
44075,MSD01,9/1/20,7.934910083,1,63335.18057,1
44076,MSD01,9/2/20,14.51013775,1,144446.6539,1
226,MSD02,9/3/20,22.00228895,1,134123.4585,1
229,MSD03,9/3/20,8.421619285,1,256826.3552,1
230,MSD04,9/3/20,8.651717188,1,633551.7432,1
231,MSD05,9/3/20,8.15276764,1,259034.006,1
241,MSD02,9/8/20,19.33929179,1,714280.0956,1
244,MSD03,9/8/20,12.32817309,1,8173320.798,1
245,MSD04,9/8/20,8.117973682,1,1333722.947,1
246,MSD05,9/8/20,4.683017521,88,205666.6387,1
44082,MSD01,9/8/20,72.91573778,1,287941.0372,1
44083,MSD01,9/9/20,12.13062903,1,46461.7785,1
44084,MSD01,9/10/20,12.96782658,1,183998.2097,1
256,MSD02,9/10/20,91.55043362,1,429042.4166,1
259,MSD03,9/10/20,35.76320888,1,565375.9583,1
260,MSD04,9/10/20,13.28187366,1,237239.7649,1
261,MSD05,9/10/20,10.24508324,1,81902.3026,1
271,MSD02,9/15/20,34.98325353,1,262600.984,1
274,MSD03,9/15/20,24.88182923,1,253569.9316,1
276,MSD04,9/15/20,19.76670137,1,153471.5658,1
277,MSD05,9/15/20,14.61755229,1,877137.6188,1
44089,MSD01,9/15/20,49.46848493,1,355053.6982,1
44091,MSD01,9/17/20,17.464474,1,264691.7562,1
287,MSD02,9/17/20,62.50010103,1,293726.5806,1
290,MSD03,9/17/20,30.7302863,1,7972.85807,1
