"","date","inc","inc.top","inc.bot","pop","time_point","week","group"
"1",2021-04-23,0.000448682587014109,0.00082909795805555,6.82672159726687e-05,295910,0,0,"d1"
"2",2021-04-24,0.000412330903226127,0.000762201113406441,6.24606930458122e-05,295910,1,0,"d1"
"3",2021-04-25,0.000378767830447144,0.000700349200619507,5.71864602747808e-05,295910,2,0,"d1"
"4",2021-04-26,0.000346939276290186,0.000643819558521647,5.00589940587246e-05,295910,3,0,"d1"
"5",2021-04-27,0.000322187814044788,0.000602542537531604,4.18330905579721e-05,295910,4,1,"d1"
"6",2021-04-28,0.000300752761976892,0.000566533019209591,3.49725047441943e-05,295910,5,1,"d1"
"7",2021-04-29,0.00028079155072086,0.000532334398669488,2.92487027722321e-05,295910,6,1,"d1"
"8",2021-04-30,0.00026218514577759,0.000499898577749455,2.44717138057247e-05,295910,7,1,"d1"
"9",2021-05-01,0.000244829382872655,0.000469175192917034,2.04835728282766e-05,295910,8,1,"d1"
"10",2021-05-02,0.000228632536486235,0.000440112186715885,1.71528862565854e-05,295910,9,1,"d1"
"11",2021-05-03,0.000214131555066145,0.000413892783165055,1.43703269672357e-05,295910,10,1,"d1"
"12",2021-05-04,0.000204703660002652,0.000397362421219017,1.20448987862863e-05,295910,11,2,"d1"
"13",2021-05-05,0.000196457234886746,0.000382813631628745,1.01008381447477e-05,295910,12,2,"d1"
"14",2021-05-06,0.000188529340462,0.000368583637456064,8.47504346793607e-06,295910,13,2,"d1"
"15",2021-05-07,0.000180903364118152,0.000354691786467358,7.11494176894653e-06,295910,14,2,"d1"
"16",2021-05-08,0.000173566373504955,0.000341156029468138,5.97671754177257e-06,295910,15,2,"d1"
"17",2021-05-09,0.00016650841672377,0.000327992991481465,5.02384196607714e-06,295910,16,2,"d1"
"18",2021-05-10,0.000159721950120523,0.0003152180491275,4.22585111354669e-06,295910,17,2,"d1"
"19",2021-05-11,0.00015333459467809,0.000303111858682097,3.55733067408277e-06,295910,18,3,"d1"
"20",2021-05-12,0.000148155818709442,0.000293314565398586,2.99707202029855e-06,295910,19,3,"d1"
"21",2021-05-13,0.000143342924150483,0.000284158477834453,2.52737046651268e-06,295910,20,3,"d1"
"22",2021-05-14,0.000138693744974095,0.000275254048375122,2.13344157306899e-06,295910,21,3,"d1"
"23",2021-05-15,0.000134204219599084,0.000266605503718628,1.80293547953962e-06,295910,22,3,"d1"
"24",2021-05-16,0.000129871193290104,0.000258216853909406,1.5255326708009e-06,295910,23,3,"d1"
"25",2021-05-17,0.000125692267785938,0.000250091928160237,1.29260741163958e-06,295910,24,3,"d1"
"26",2021-05-18,0.000121665679356895,0.000242234411283327,1.0969474304625e-06,295910,25,4,"d1"
"27",2021-05-19,0.000117790200530767,0.00023464788068645,9.32520375085201e-07,295910,26,4,"d1"
"28",2021-05-20,0.000114065061535235,0.000227335843897424,7.94279173045253e-07,295910,27,4,"d1"
"29",2021-05-21,0.000110489888175053,0.000220301776587205,6.77999762900393e-07,295910,28,4,"d1"
"30",2021-05-22,0.000107064653418757,0.000213549161068492,5.80145769021645e-07,295910,29,4,"d1"
"31",2021-05-23,0.000103789640431315,0.000207081525252905,4.97755609724939e-07,295910,30,4,"d1"
"32",2021-05-24,0.000100665415172587,0.000200902482055529,4.2834828964585e-07,295910,31,4,"d1"
"33",2021-05-25,9.76928069998468e-05,0.000195015769240817,3.69844758876891e-07,295910,32,5,"d1"
"34",2021-05-26,9.48728959771052e-05,0.000189425289708467,3.20502245743597e-07,295910,33,5,"d1"
"35",2021-05-27,9.22070058137667e-05,0.000184135152221983,2.78859405550411e-07,295910,34,5,"d1"
"36",2021-05-28,8.96967015376977e-05,0.000179149712586024,2.43690489371861e-07,295910,35,5,"d1"
"37",2021-05-29,8.73437911594927e-05,0.000174473615281412,2.13967037573927e-07,295910,36,5,"d1"
"38",2021-05-30,8.51503307106665e-05,0.000170111835568695,1.88825852638866e-07,295910,37,5,"d1"
"39",2021-05-31,8.31186321430266e-05,0.000166069722072393,1.67542213659851e-07,295910,38,5,"d1"
"40",2021-06-01,8.12512736631146e-05,0.000162353039858512,1.49507467717454e-07,295910,39,6,"d1"
"41",2021-06-02,7.95511121472838e-05,0.000158968014017395,1.34210277172485e-07,295910,40,6,"d1"
"42",2021-06-03,7.80212973421218e-05,0.000155921373762622,1.21220921621474e-07,295910,41,6,"d1"
"43",2021-06-04,7.66652876035465e-05,0.000153220397054157,1.10178152936135e-07,295910,42,6,"d1"
"44",2021-06-05,7.66923401541232e-05,0.000153283902123419,1.00778184827108e-07,295910,43,6,"d1"
"45",2021-06-06,7.74481410369472e-05,0.000154803516606354,9.27654675404242e-08,295910,44,6,"d1"
"46",2021-06-07,7.85497444333799e-05,0.000157013563910818,8.59249559419363e-08,295910,45,6,"d1"
"47",2021-06-08,8.09749007768422e-05,0.00016186972592638,8.00756273046532e-08,295910,46,7,"d1"
"48",2021-06-09,8.68375964545036e-05,0.000173600127863813,7.50650451937188e-08,295910,47,7,"d1"
"49",2021-06-10,9.32995753082417e-05,0.000186528385817204,7.07647992791126e-08,295910,48,7,"d1"
"50",2021-06-11,0.000100362155110289,0.00020065724354177,6.70666788073573e-08,295910,49,7,"d1"
"51",2021-06-12,0.000108050813420731,0.000216037747380707,6.38794607538049e-08,295910,50,7,"d1"
"52",2021-06-13,0.000116391294665618,0.00023272146311811,6.11262131244834e-08,295910,51,7,"d1"
"53",2021-06-14,0.000125409430229095,0.000250760118428069,5.87420301200893e-08,295910,52,7,"d1"
"54",2021-06-15,0.000135130935592637,0.000270205199055827,5.66721294464786e-08,295910,53,8,"d1"
"55",2021-06-16,0.000145580932314364,0.000291107496993212,5.43676355166089e-08,295910,54,8,"d1"
"56",2021-06-17,0.000156783717015776,0.000313516609230833,5.08248007202194e-08,295910,55,8,"d1"
"57",2021-06-18,0.000168764034583032,0.000337480386078708,4.76830873556798e-08,295910,56,8,"d1"
"58",2021-06-19,0.0001815446196477,0.000363044328555519,4.49107398807118e-08,295910,57,8,"d1"
"59",2021-06-20,0.00019514669531895,0.00039025093496448,4.24556734204139e-08,295910,58,8,"d1"
"60",2021-06-21,0.000209589635524817,0.00041913899751018,4.02735394521929e-08,295910,59,8,"d1"
"61",2021-06-22,0.000224890588614341,0.000449742850673502,3.8326555179681e-08,295910,60,9,"d1"
"62",2021-06-23,0.000241064078284405,0.000482091574056948,3.65825118618874e-08,295910,61,9,"d1"
"63",2021-06-24,0.00025812158373902,0.000516208153543519,3.50139345215011e-08,295910,62,9,"d1"
"64",2021-06-25,0.000276071101624217,0.000552108605878697,3.35973697368559e-08,295910,63,9,"d1"
"65",2021-06-26,0.000294916692982123,0.000589801073182412,3.23127818334184e-08,295910,64,9,"d1"
"66",2021-06-27,0.000314658019228592,0.000629284895416346,3.11430408381474e-08,295910,65,9,"d1"
"67",2021-06-28,0.000335289871971775,0.000670549670455418,3.00734881323708e-08,295910,66,9,"d1"
"68",2021-06-29,0.000356801702342742,0.000713574313117574,2.90915679105487e-08,295910,67,10,"d1"
"69",2021-06-30,0.000379177156388118,0.00075832612626185,2.81865143862726e-08,295910,68,10,"d1"
"70",2021-07-01,0.000402393623958628,0.000804759898831021,2.73490862359759e-08,295910,69,10,"d1"
"71",2021-07-02,0.000426421809392122,0.000852817047443164,2.65713410796734e-08,295910,70,10,"d1"
"72",2021-07-03,0.000451225333105832,0.000902424819767761,2.5846443904122e-08,295910,71,10,"d1"
"73",2021-07-04,0.00047676037394692,0.000953495579389573,2.51685042687561e-08,295910,72,10,"d1"
"74",2021-07-05,0.000502975362765155,0.00100592619309238,2.45324379252422e-08,295910,73,10,"d1"
"75",2021-07-06,0.000529810738126241,0.00105959754240333,2.39338491500066e-08,295910,74,11,"d1"
"76",2021-07-07,0.000557198775335914,0.00111437418174118,2.33689306545731e-08,295910,75,11,"d1"
"77",2021-07-08,0.000585063499949923,0.00117010416552143,2.28343784169909e-08,295910,76,11,"d1"
