"","avg_n1","variant","date"
"1",NA,"Alpha variant",2021-04-23
"2",NA,"Alpha variant",2021-04-24
"3",NA,"Alpha variant",2021-04-25
"4",7.43506078466667,"Alpha variant",2021-04-26
"5",NA,"Alpha variant",2021-04-27
"6",22.585303,"Alpha variant",2021-04-28
"7",NA,"Alpha variant",2021-04-29
"8",NA,"Alpha variant",2021-04-30
"9",NA,"Alpha variant",2021-05-01
"10",NA,"Alpha variant",2021-05-02
"11",13.6172815553333,"Alpha variant",2021-05-03
"12",NA,"Alpha variant",2021-05-04
"13",9.248385855,"Alpha variant",2021-05-05
"14",NA,"Alpha variant",2021-05-06
"15",NA,"Alpha variant",2021-05-07
"16",NA,"Alpha variant",2021-05-08
"17",10.3607063236667,"Alpha variant",2021-05-10
"18",NA,"Alpha variant",2021-05-11
"19",8.654633982,"Alpha variant",2021-05-12
"20",NA,"Alpha variant",2021-05-13
"21",NA,"Alpha variant",2021-05-14
"22",NA,"Alpha variant",2021-05-15
"23",NA,"Alpha variant",2021-05-16
"24",27.2453606633333,"Alpha variant",2021-05-17
"25",NA,"Alpha variant",2021-05-18
"26",25.0680950733333,"Alpha variant",2021-05-19
"27",NA,"Alpha variant",2021-05-20
"28",NA,"Alpha variant",2021-05-21
"29",NA,"Alpha variant",2021-05-22
"30",NA,"Alpha variant",2021-05-23
"31",5.596180256,"Alpha variant",2021-05-24
"32",NA,"Alpha variant",2021-05-25
"33",2.52828404933333,"Alpha variant",2021-05-26
"34",NA,"Alpha variant",2021-05-27
"35",NA,"Alpha variant",2021-05-28
"36",NA,"Alpha variant",2021-05-30
"37",2.2385464955,"Alpha variant",2021-05-31
"38",NA,"Alpha variant",2021-06-01
"39",2.62967704033333,"Alpha variant",2021-06-02
"40",NA,"Alpha variant",2021-06-03
"41",NA,"Alpha variant",2021-06-04
"42",NA,"Alpha variant",2021-06-05
"43",NA,"Alpha variant",2021-06-06
"44",2.21081765133333,"Alpha variant",2021-06-07
"45",4.01457738833333,"Alpha variant",2021-06-09
"46",NA,"Alpha variant",2021-06-10
"47",NA,"Alpha variant",2021-06-11
"48",NA,"Alpha variant",2021-06-13
"49",36.2216116593333,"Alpha variant",2021-06-14
"50",NA,"Alpha variant",2021-06-15
"51",7.114154667,"Alpha variant",2021-06-16
"52",NA,"Alpha variant",2021-06-17
"53",NA,"Alpha variant",2021-06-18
"54",NA,"Alpha variant",2021-06-19
"55",NA,"Alpha variant",2021-06-20
"56",3.338338432,"Alpha variant",2021-06-21
"57",NA,"Alpha variant",2021-06-22
"58",5.644082459,"Alpha variant",2021-06-23
"59",NA,"Alpha variant",2021-06-24
"60",NA,"Alpha variant",2021-06-25
"61",2.51913326566667,"Alpha variant",2021-06-28
"62",3.549660869,"Alpha variant",2021-06-30
"63",4.1984973915,"Alpha variant",2021-07-05
"64",4.6876796635,"Alpha variant",2021-07-07
"65",4.715958611,"Delta variant",2021-07-12
"66",13.4649672693333,"Delta variant",2021-07-14
"67",NA,"Delta variant",2021-07-15
"68",NA,"Delta variant",2021-07-16
"69",20.68047333,"Delta variant",2021-07-19
"70",32.305205121,"Delta variant",2021-07-21
"71",15.722055813,"Delta variant",2021-07-26
"72",13.1662580836667,"Delta variant",2021-07-28
"73",NA,"Delta variant",2021-07-31
"74",26.7939942266667,"Delta variant",2021-08-02
"75",35.3484647433333,"Delta variant",2021-08-04
"76",NA,"Delta variant",2021-08-07
"77",NA,"Delta variant",2021-08-08
"78",67.47494102,"Delta variant",2021-08-09
"79",NA,"Delta variant",2021-08-10
"80",34.18214589,"Delta variant",2021-08-11
"81",NA,"Delta variant",2021-08-14
"82",24.0772603633333,"Delta variant",2021-08-16
"83",37.20567514,"Delta variant",2021-08-18
"84",NA,"Delta variant",2021-08-21
"85",11.1893189636667,"Delta variant",2021-08-23
"86",NA,"Delta variant",2021-08-24
"87",13.0750736833333,"Delta variant",2021-08-25
"88",NA,"Delta variant",2021-08-26
"89",NA,"Delta variant",2021-08-27
"90",NA,"Delta variant",2021-08-28
"91",NA,"Delta variant",2021-08-29
"92",52.7900550533333,"Delta variant",2021-08-30
"93",NA,"Delta variant",2021-08-31
