"","avg_n1","variant","date"
"1",NA,"Alpha variant",2021-04-23
"2",NA,"Alpha variant",2021-04-24
"3",NA,"Alpha variant",2021-04-25
"4",8.5501175312,"Alpha variant",2021-04-26
"5",NA,"Alpha variant",2021-04-27
"6",20.9560556206,"Alpha variant",2021-04-28
"7",NA,"Alpha variant",2021-04-29
"8",NA,"Alpha variant",2021-04-30
"9",NA,"Alpha variant",2021-05-01
"10",NA,"Alpha variant",2021-05-02
"11",15.7720778672,"Alpha variant",2021-05-03
"12",NA,"Alpha variant",2021-05-04
"13",8.4709146298,"Alpha variant",2021-05-05
"14",NA,"Alpha variant",2021-05-06
"15",NA,"Alpha variant",2021-05-07
"16",NA,"Alpha variant",2021-05-08
"17",11.1191297134,"Alpha variant",2021-05-10
"18",NA,"Alpha variant",2021-05-11
"19",9.8387474692,"Alpha variant",2021-05-12
"20",NA,"Alpha variant",2021-05-13
"21",NA,"Alpha variant",2021-05-14
"22",NA,"Alpha variant",2021-05-15
"23",NA,"Alpha variant",2021-05-16
"24",23.339136362,"Alpha variant",2021-05-17
"25",NA,"Alpha variant",2021-05-18
"26",23.8564339225,"Alpha variant",2021-05-19
"27",NA,"Alpha variant",2021-05-20
"28",NA,"Alpha variant",2021-05-21
"29",NA,"Alpha variant",2021-05-22
"30",NA,"Alpha variant",2021-05-23
"31",4.617942228,"Alpha variant",2021-05-24
"32",NA,"Alpha variant",2021-05-25
"33",2.8692156168,"Alpha variant",2021-05-26
"34",NA,"Alpha variant",2021-05-27
"35",NA,"Alpha variant",2021-05-28
"36",NA,"Alpha variant",2021-05-30
"37",2.20751816625,"Alpha variant",2021-05-31
"38",NA,"Alpha variant",2021-06-01
"39",2.2951933922,"Alpha variant",2021-06-02
"40",NA,"Alpha variant",2021-06-03
"41",NA,"Alpha variant",2021-06-04
"42",NA,"Alpha variant",2021-06-05
"43",NA,"Alpha variant",2021-06-06
"44",2.2553802122,"Alpha variant",2021-06-07
"45",3.3508010838,"Alpha variant",2021-06-09
"46",NA,"Alpha variant",2021-06-10
"47",NA,"Alpha variant",2021-06-11
"48",NA,"Alpha variant",2021-06-13
"49",30.1657170645,"Alpha variant",2021-06-14
"50",NA,"Alpha variant",2021-06-15
"51",4.07554002633333,"Alpha variant",2021-06-16
"52",NA,"Alpha variant",2021-06-17
"53",NA,"Alpha variant",2021-06-18
"54",NA,"Alpha variant",2021-06-19
"55",NA,"Alpha variant",2021-06-20
"56",2.4730047055,"Alpha variant",2021-06-21
"57",NA,"Alpha variant",2021-06-22
"58",4.695625025,"Alpha variant",2021-06-23
"59",NA,"Alpha variant",2021-06-24
"60",NA,"Alpha variant",2021-06-25
"61",2.6508689705,"Alpha variant",2021-06-28
"62",3.933124515,"Alpha variant",2021-06-30
"63",3.80948012366667,"Alpha variant",2021-07-05
"64",16.4768082455,"Alpha variant",2021-07-07
"65",4.1311640668,"Delta variant",2021-07-12
"66",10.2198083192,"Delta variant",2021-07-14
"67",NA,"Delta variant",2021-07-15
"68",NA,"Delta variant",2021-07-16
"69",31.9537638575,"Delta variant",2021-07-19
"70",31.3586036346,"Delta variant",2021-07-21
"71",12.187246694,"Delta variant",2021-07-26
"72",13.1919799196,"Delta variant",2021-07-28
"73",NA,"Delta variant",2021-07-31
"74",20.747005028,"Delta variant",2021-08-02
"75",29.4460524792,"Delta variant",2021-08-04
"76",NA,"Delta variant",2021-08-07
"77",NA,"Delta variant",2021-08-08
"78",65.08267483,"Delta variant",2021-08-09
"79",NA,"Delta variant",2021-08-10
"80",47.201757964,"Delta variant",2021-08-11
"81",NA,"Delta variant",2021-08-14
"82",28.331872334,"Delta variant",2021-08-16
"83",41.7487637318,"Delta variant",2021-08-18
"84",NA,"Delta variant",2021-08-21
"85",20.8584005142,"Delta variant",2021-08-23
"86",NA,"Delta variant",2021-08-24
"87",12.524346446,"Delta variant",2021-08-25
"88",NA,"Delta variant",2021-08-26
"89",NA,"Delta variant",2021-08-27
"90",NA,"Delta variant",2021-08-28
"91",NA,"Delta variant",2021-08-29
"92",45.856235138,"Delta variant",2021-08-30
"93",NA,"Delta variant",2021-08-31
