"","delta_variant.cnt","avg_n1","fit3","lwr3","upr3","alpha_variant.cnt","fit2","lwr2","upr2"
"1",0,8.320370002,0.0255986598084137,-5.52001660563297,5.43425974983897,422,9.31687025880825,2.49963925630989,15.7526161839884
"2",0,11.7251355015,0.0255986598084137,-5.52001660563297,5.43425974983897,383,8.45819823899547,2.3677548816035,14.2128901279756
"3",0,4.69102573,0.0255986598084137,-5.52001660563297,5.43425974983897,328,7.24725051874668,1.99444283305112,12.1312609558547
"4",0,10.589872575,0.0255986598084137,-5.52001660563297,5.43425974983897,259,5.72806156061637,1.47566254515483,9.81196500139717
"5",0,2.645216648,0.0255986598084137,-5.52001660563297,5.43425974983897,193,4.27492429631782,0.299477529101488,7.77535835178107
"6",0,2.027462339,0.0255986598084137,-5.52001660563297,5.43425974983897,137,3.04195934479177,-0.940685222153114,6.58995099906865
"7",174,1.3969161055,0.386980757735566,-4.97391660109357,5.61234512219734,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"8",368,1.440259278,0.789901027838253,-4.36451576695449,5.84681055453736,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"9",723,1.841856835,1.52720358395399,-3.30743376850495,6.24621173074365,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"10",1258,1.733856456,2.63834968964955,-1.705822770883,6.87981341152981,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"11",1974,3.031445588,4.12541625353369,0.404030639552915,7.78116597062466,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"12",2852,2.4979454475,5.94894201203967,2.45933601140466,9.16435185080095,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"13",3385,1.455858874,7.05593430051767,3.60717492582036,10.2512592561876,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"14",3438,12.5767887985,7.16601045678283,3.74839619601008,10.3590284869289,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"15",4257,6.2486215085,8.86699860737098,5.26259991979474,12.2500562644074,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"16",4663,24.407804673,9.71022350253434,5.91315368650925,13.2383638607155,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"17",6298,21.63328413,13.1059690778843,8.09147243278825,17.8996384244638,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"18",7616,10.2820579545,15.843334624252,9.41690437516261,21.9972967583286,0,0.0255986598084137,-5.52001660563297,5.43425974983897
"19",8024,12.738957095,16.6907133366329,9.81792229077948,23.247371808403,0,0.0255986598084137,-5.52001660563297,5.43425974983897
