"","date","inc.x","site","pop","group.x","inc.y","inc.top","inc.bot","group.y"
"1",2021-04-23,NA,NA,NA,NA,0.000568117601028502,0.00104471864619404,9.15165558629644e-05,"d2"
"2",2021-04-24,NA,NA,NA,NA,0.00053570901366028,0.000983401843216761,8.80161841038007e-05,"d2"
"3",2021-04-25,NA,NA,NA,NA,0.000504589790450529,0.000924541639109938,8.46379417911195e-05,"d2"
"4",2021-04-26,69,"MSD01",349850,"d1",0.000481164550291708,0.000880950362629552,8.13787379538641e-05,"d2"
"5",2021-04-26,102,"MSD02",295910,"d1",0.000481164550291708,0.000880950362629552,8.13787379538641e-05,"d2"
"6",2021-04-26,66,"MSD03",55928,"d1",0.000481164550291708,0.000880950362629552,8.13787379538641e-05,"d2"
"7",2021-04-26,74,"MSD04",32460,"d1",0.000481164550291708,0.000880950362629552,8.13787379538641e-05,"d2"
"8",2021-04-26,99,"MSD05",31269,"d1",0.000481164550291708,0.000880950362629552,8.13787379538641e-05,"d2"
"9",2021-04-27,NA,NA,NA,NA,0.000461236040724185,0.000844236538652772,7.82355427955996e-05,"d2"
"10",2021-04-28,NA,NA,NA,NA,0.000441518368217642,0.000807831343770342,7.52053926649416e-05,"d2"
"11",2021-04-29,NA,NA,NA,NA,0.000422077551473368,0.000771869707992866,7.22853949538704e-05,"d2"
"12",2021-04-30,NA,NA,NA,NA,0.000402974632390469,0.00073647653182018,6.9472732960758e-05,"d2"
"13",2021-05-01,NA,NA,NA,NA,0.000384265636229011,0.000701766601701349,6.67646707566739e-05,"d2"
"14",2021-05-02,NA,NA,NA,NA,0.000366001596488773,0.000667844634882074,6.41585580954718e-05,"d2"
"15",2021-05-03,57,"MSD01",349850,"d1",0.000348013753439442,0.000634805440849522,6.12220660293618e-05,"d2"
"16",2021-05-03,75,"MSD02",295910,"d1",0.000348013753439442,0.000634805440849522,6.12220660293618e-05,"d2"
"17",2021-05-03,30,"MSD03",55928,"d1",0.000348013753439442,0.000634805440849522,6.12220660293618e-05,"d2"
"18",2021-05-03,55,"MSD04",32460,"d1",0.000348013753439442,0.000634805440849522,6.12220660293618e-05,"d2"
"19",2021-05-03,45,"MSD05",31269,"d1",0.000348013753439442,0.000634805440849522,6.12220660293618e-05,"d2"
"20",2021-05-04,NA,NA,NA,NA,0.00033014798119762,0.000602734186097502,5.75617762977388e-05,"d2"
"21",2021-05-05,NA,NA,NA,NA,0.000312877107669179,0.000571706748756095,5.40474665822642e-05,"d2"
"22",2021-05-06,NA,NA,NA,NA,0.000295654950381168,0.000541790149718118,4.95197510442174e-05,"d2"
