"","time","date.x.x","I.x.x","date.y.x","I.y.x","date.x.y","I.x.y","date.y.y","I.y.y","date","I"
"1",0,2021-04-23,0.00111670061811122,2021-04-23,0.00111670061811122,2021-04-23,0.00111670061811122,2021-04-23,0.00111670061811122,2021-04-23,0.00111670061811122
"2",0.5,2021-04-23,0.00108505741741452,2021-04-23,0.00108547127781845,2021-04-23,0.00108650592882829,2021-04-23,0.00108754057983812,2021-04-23,0.00108857523084795
"3",1,2021-04-24,0.00105414511211016,2021-04-24,0.001055010265188,2021-04-24,0.00105730856269628,2021-04-24,0.00105980030944525,2021-04-24,0.00106248550481851
"4",1.5,2021-04-24,0.0010239562032286,2021-04-24,0.00102531243048255,2021-04-24,0.00102914254519301,2021-04-24,0.00103364394051223,2021-04-24,0.00103887081137322
"5",2,2021-04-25,0.000994482806707958,2021-04-25,0.000996372364332258,2021-04-25,0.00100204777809712,2021-04-25,0.00100927731941714,2021-04-25,0.00101832168851356
"6",2.5,2021-04-25,0.000965716682770937,2021-04-25,0.00096818443297146,2021-04-25,0.000976070995644021,2021-04-25,0.000986958263562126,2021-04-25,0.00100163093470352
"7",3,2021-04-26,0.000937649264319637,2021-04-26,0.000940742812737577,2021-04-26,0.000951266854548266,2021-04-26,0.000967009280399984,2021-04-26,0.000989861788318972
"8",3.5,2021-04-26,0.000910271684344936,2021-04-26,0.000914041523837613,2021-04-26,0.000927699177130549,2021-04-26,0.000949833333110794,2021-04-26,0.000984438860716453
"9",4,2021-04-27,0.000883574802349936,2021-04-27,0.000888074463390962,2021-04-27,0.000905442369466171,2021-04-27,0.000935933376054907,2021-04-27,0.000987269346790982
"10",4.5,2021-04-27,0.000857549229789848,2021-04-27,0.000862835437760181,2021-04-27,0.000884583039508414,2021-04-27,0.000925936551742166,2021-04-27,0.00100090448602561
"11",5,2021-04-28,0.000832185354533219,2021-04-28,0.000838318194184208,2021-04-28,0.00086522184357753,2021-04-28,0.00092062414778231,2021-04-28,0.00102875446915205
