"time_point","num_antibody_positive","date","num_antibody_total","percent_positive"
1,3,2021-04-23,104,0.0288461538461538
2,1,2021-04-24,41,0.024390243902439
3,0,2021-04-25,19,0
4,6,2021-04-26,98,0.0612244897959184
5,4,2021-04-27,60,0.0666666666666667
6,9,2021-04-28,32,0.28125
7,1,2021-04-29,35,0.0285714285714286
25,1,2021-05-17,51,0.0196078431372549
26,0,2021-05-18,16,0
27,1,2021-05-19,12,0.0833333333333333
28,12,2021-05-20,102,0.117647058823529
29,2,2021-05-21,63,0.0317460317460317
30,1,2021-05-22,107,0.00934579439252336
31,0,2021-05-23,44,0
56,9,2021-06-17,86,0.104651162790698
57,12,2021-06-18,126,0.0952380952380952
58,1,2021-06-19,30,0.0333333333333333
59,0,2021-06-20,3,0
60,0,2021-06-21,37,0
61,0,2021-06-22,26,0
62,0,2021-06-23,16,0
121,4,2021-08-21,7,0.571428571428571
125,2,2021-08-25,16,0.125
126,40,2021-08-26,96,0.416666666666667
127,4,2021-08-27,31,0.129032258064516
128,3,2021-08-28,78,0.0384615384615385
129,11,2021-08-29,144,0.0763888888888889
130,1,2021-08-30,31,0.032258064516129
131,4,2021-08-31,36,0.111111111111111
