"time_point","num_antibody_positive","date","num_antibody_total","percent_positive"
1,11,2021-04-23,170,0.0647058823529412
2,2,2021-04-24,73,0.0273972602739726
3,3,2021-04-25,37,0.0810810810810811
4,17,2021-04-26,213,0.07981220657277
5,12,2021-04-27,123,0.0975609756097561
6,19,2021-04-28,84,0.226190476190476
7,4,2021-04-29,65,0.0615384615384615
25,13,2021-05-17,211,0.0616113744075829
26,3,2021-05-18,70,0.0428571428571429
27,4,2021-05-19,54,0.0740740740740741
28,18,2021-05-20,169,0.106508875739645
29,2,2021-05-21,114,0.0175438596491228
30,2,2021-05-22,143,0.013986013986014
31,0,2021-05-23,58,0
56,24,2021-06-17,178,0.134831460674157
57,15,2021-06-18,166,0.0903614457831325
58,1,2021-06-19,40,0.025
59,0,2021-06-20,7,0
60,2,2021-06-21,130,0.0153846153846154
61,3,2021-06-22,130,0.0230769230769231
62,1,2021-06-23,66,0.0151515151515152
121,5,2021-08-21,8,0.625
125,6,2021-08-25,32,0.1875
126,67,2021-08-26,170,0.394117647058824
127,10,2021-08-27,78,0.128205128205128
128,5,2021-08-28,128,0.0390625
129,21,2021-08-29,261,0.0804597701149425
130,10,2021-08-30,165,0.0606060606060606
131,16,2021-08-31,129,0.124031007751938
