"time","top","med","bottom","date"
0,0.000528804066184137,0.00027139772425932,1.39913823345025e-05,2021-04-23
0.5,0.000531645587842446,0.000272839080775608,1.40325737087693e-05,2021-04-23
1,0.000534378745566975,0.000274226457814173,1.4074170061372e-05,2021-04-24
1.5,0.000537002961965081,0.000275559576627777,1.41161912904729e-05,2021-04-24
2,0.000539517805265917,0.0002768382317742,1.41586582824836e-05,2021-04-25
2.5,0.000541922992097644,0.000278062292529102,1.42015929605608e-05,2021-04-25
3,0.00054421839010523,0.000279231704220353,1.42450183354757e-05,2021-04-26
3.5,0.000546404020405334,0.000280346489482153,1.42889585589717e-05,2021-04-26
4,0.000548480059875179,0.000281406749427456,1.43334389797331e-05,2021-04-27
4.5,0.000550446843272733,0.000282412664737412,1.43784862020905e-05,2021-04-27
5,0.000552304865185932,0.000283364496666765,1.44241281475983e-05,2021-04-28
5.5,0.0005540547818091,0.000284262587964361,1.44703941196226e-05,2021-04-28
6,0.000555697412545121,0.000285107363708104,1.45173148710877e-05,2021-04-29
6.5,0.000557233741432378,0.000285899332053956,1.45649226755338e-05,2021-04-29
7,0.000558664918395828,0.000286639084898738,1.46132514016482e-05,2021-04-30
7.5,0.000559992260322036,0.000287327298456737,1.46623365914392e-05,2021-04-30
8,0.000561217251958368,0.000287964733750299,1.47122155422294e-05,2021-05-01
8.5,0.000562341546636943,0.000288552237014799,1.47629273926557e-05,2021-05-01
9,0.000563366966824297,0.000289090740018583,1.48145132128698e-05,2021-05-02
9.5,0.000564295504498121,0.000289581260298632,1.48670160991444e-05,2021-05-02
10,0.00056512932135274,0.00029002490131292,1.49204812730998e-05,2021-05-03
10.5,0.00056587074883536,0.000290422852510568,1.49749561857753e-05,2021-05-03
11,0.000566522288015409,0.000290776389321095,1.5030490626781e-05,2021-05-04
11.5,0.000568364361906293,0.000291725749372536,1.50871368387782e-05,2021-05-04
12,0.000572265671195276,0.000293705310416411,1.51449496375463e-05,2021-05-05
12.5,0.000576102939130898,0.000295653462834404,1.52039865379087e-05,2021-05-05
13,0.000579875801727977,0.00029757005480689,1.52643078858023e-05,2021-05-06
13.5,0.000592090324462138,0.000303708150729464,1.53259769967891e-05,2021-05-06
14,0.00060473872069662,0.000310063890498972,1.53890603013239e-05,2021-05-07
14.5,0.000617434833008448,0.000316444230252776,1.54536274971045e-05,2021-05-07
15,0.000630172627000004,0.000322846189354427,1.55197517088505e-05,2021-05-08
15.5,0.000642946102938958,0.000329266806297414,1.55875096558702e-05,2021-05-08
16,0.00065574931337939,0.000335703147603592,1.56569818277939e-05,2021-05-09
16.5,0.000668576380958182,0.000342152316813526,1.57282526688703e-05,2021-05-09
17,0.000681421516300518,0.00034861146353588,1.58014107712418e-05,2021-05-10
17.5,0.000694279035965418,0.000355077792521526,1.58765490776331e-05,2021-05-10
18,0.000707143380359686,0.000361548572726799,1.59537650939109e-05,2021-05-11
18.5,0.000720009131546287,0.00036802114632914,1.60331611119934e-05,2021-05-11
19,0.000732871030871082,0.000374492937657346,1.6114844443609e-05,2021-05-12
19.5,0.000745723996330097,0.000380961461997765,1.6198927665434e-05,2021-05-12
20,0.000758563139597987,0.000387424334237071,1.6285528876156e-05,2021-05-13
20.5,0.000771383782637286,0.000393879277301665,1.63747719660436e-05,2021-05-13
21,0.000784181473807199,0.000400324130353413,1.64667868996271e-05,2021-05-14
21.5,0.000796952003390297,0.00040675685670121,1.65617100121235e-05,2021-05-14
22,0.000809691418455447,0.00041317555138786,1.66596843202726e-05,2021-05-15
22.5,0.000822396036975655,0.000419578448411967,1.67608598482788e-05,2021-05-15
23,0.000835062461120245,0.000425963927544918,1.68653939695909e-05,2021-05-16
23.5,0.000847687589641999,0.000432330520703642,1.69734517652839e-05,2021-05-16
24,0.00086026862928143,0.000438676917840637,1.70852063998447e-05,2021-05-17
24.5,0.000872803105112364,0.000445001972313783,1.72008395152022e-05,2021-05-17
25,0.00088528886975546,0.000451304705699671,1.7320541643882e-05,2021-05-18
25.5,0.000897724111389071,0.00045758431201564,1.74445126422083e-05,2021-05-18
26,0.000910107360490153,0.000463840161317336,1.7572962144519e-05,2021-05-19
26.5,0.000922437495241544,0.000470071802640475,1.77061100394069e-05,2021-05-19
27,0.000934713745546006,0.000476278966257527,1.7844186969047e-05,2021-05-20
27.5,0.000946935695591842,0.000482461565222282,1.79874348527228e-05,2021-05-20
28,0.000959103284919717,0.000488619696177715,1.81361074357131e-05,2021-05-21
28.5,0.000971216807945476,0.000494753639405118,1.82904708647603e-05,2021-05-21
29,0.000983276911899246,0.000500863858095322,1.84508042913979e-05,2021-05-22
29.5,0.000995284593146926,0.000506950996825699,1.86174005044717e-05,2021-05-22
30,0.00100724119186632,0.000513015879229789,1.87905665932599e-05,2021-05-23
30.5,0.00101914838505647,0.000519059504849563,1.89706246426552e-05,2021-05-23
31,0.00103100817786554,0.000525083045163746,1.91579124619478e-05,2021-05-24
31.5,0.00104282289322928,0.00053108783878905,1.93527843488167e-05,2021-05-24
32,0.00105459515981927,0.000537075385854743,1.95556118902144e-05,2021-05-25
32.5,0.00106632789830739,0.000543047341554651,1.97667848019073e-05,2021-05-25
33,0.00107802430596026,0.00054900550888439,1.99867118085197e-05,2021-05-26
33.5,0.0010896878395848,0.000554951830575407,2.02158215660122e-05,2021-05-26
34,0.00110132219685387,0.000560888380241244,2.04545636286182e-05,2021-05-27
34.5,0.00111293129604819,0.000566817352755274,2.07034094623562e-05,2021-05-27
35,0.00112451925425868,0.000572741053883008,2.09628535073327e-05,2021-05-28
35.5,0.00113609036410072,0.000578661889195936,2.12334142911539e-05,2021-05-28
36,0.00114764906899951,0.000584582352297691,2.1515635595874e-05,2021-05-29
36.5,0.00115919993711322,0.00059050501239712,2.1810087681017e-05,2021-05-29
37,0.00117074763396785,0.00059643250126659,2.21173685653267e-05,2021-05-30
37.5,0.00118229689388504,0.000602367499627534,2.24381053700235e-05,2021-05-30
38,0.00119385249029124,0.000608312723008854,2.27729557264721e-05,2021-05-31
38.5,0.00120541920500325,0.000614270907127274,2.31226092512972e-05,2021-05-31
39,0.00121700179659221,0.000620244792842167,2.34877890921235e-05,2021-06-01
39.5,0.00122860496793396,0.000626237110740609,2.38692535472606e-05,2021-06-01
40,0.00124023333306035,0.000632250565411577,2.42677977628023e-05,2021-06-02
40.5,0.00125189138343156,0.000638287819471166,2.46842555107693e-05,2021-06-02
41,0.00126358345375496,0.000644351477403523,2.51195010520829e-05,2021-06-03
41.5,0.00127531368748134,0.000650444069284836,2.55744510883328e-05,2021-06-03
42,0.00128708600211379,0.000656568034460132,2.60500668064719e-05,2021-06-04
42.5,0.00129890405446905,0.000662725705244907,2.65473560207615e-05,2021-06-04
43,0.00131564182007308,0.000671354597744778,2.70673754164746e-05,2021-06-05
43.5,0.00133364600298572,0.000680590841534725,2.75356800837249e-05,2021-06-05
44,0.00135181043846388,0.000689768693178774,2.77269478936684e-05,2021-06-06
44.5,0.00137013587027307,0.000699033466755944,2.79310632388202e-05,2021-06-06
45,0.00138862244817947,0.00070838827677379,2.81541053681057e-05,2021-06-07
45.5,0.00140726968064636,0.000717833173031247,2.83966654161332e-05,2021-06-07
46,0.00142607638823397,0.000727367880052003,2.86593718700344e-05,2021-06-08
46.5,0.00144504065796298,0.000736991775103022,2.89428922430664e-05,2021-06-08
47,0.00146415979890842,0.000746703866878931,2.92479348494408e-05,2021-06-09
47.5,0.00148343029929683,0.000756502774991215,2.95752506856043e-05,2021-06-09
48,0.00150284778538382,0.000766386710403662,2.99256354235074e-05,2021-06-10
48.5,0.00152240698239277,0.000776353456957251,3.02999315217333e-05,2021-06-10
49,0.00154210167779696,0.000786400354128835,3.06990304607064e-05,2021-06-11
49.5,0.00156192468722803,0.0007965242811683,3.11238751085705e-05,2021-06-11
