"beta1","alpha","beta2","gamma","delta","rho","eps","psi","spec","sens"
0.484743408993726,0.00797707740739453,0.452482060557069,0.475566120679497,0.108539421593764,0.000643804409224361,0.002711182251536,0.0216665648829378,0.947621807483963,0.639257179889034
0.483600645453248,0.00794154449855097,0.422966429528476,0.464321500745151,0.0968722537320408,0.000661286801915223,0.00269130276978124,0.021231276307026,0.943967696797825,0.627421161356488
0.483873124039466,0.00774916034302523,0.418331654538281,0.453243280509113,0.0878038214331972,0.000472916386044415,0.00293868820276842,0.0218078371567409,0.939371806239163,0.612872793183704
0.465131816736932,0.00991126553791648,0.354368318602531,0.406629287931851,0.122234697050963,0.000383155804345274,0.000457894966621292,0.0250298665269834,0.956393774077817,0.667448295119715
0.492682329526917,0.00896883195203654,0.316794139486501,0.417373987772016,0.10763166715081,0.000368646663198641,0.000621460999663755,0.0230861971149256,0.957059995427573,0.698376244369746
0.377491510116113,0.00853095485500371,0.439154544530293,0.38747475411758,0.101820552194642,0.000408525601837387,0.00398381429520863,0.0225741770312559,0.940409595877204,0.625289633197683
0.414848449786898,0.00855765579719663,0.506158622522713,0.449685468263929,0.106055725850652,0.000531276495106183,0.00300534176112938,0.0214967891644425,0.939763499127105,0.69276301546206
0.414884617966617,0.00855971288767138,0.544756187855282,0.45969987198838,0.110855053807621,0.000196991691710472,0.00227613772211087,0.0229252727121013,0.936101320406768,0.647089647810563
0.427778539923886,0.00855074035616327,0.450463338458824,0.424506395628492,0.111709796182553,0.000186708419796895,0.00114536580853188,0.0229842406429662,0.940427928915127,0.664396849476705
0.605081888672004,0.00803945553687459,0.450613581826087,0.567449737499968,0.0926297004008695,0.000740661900840201,0.00152874367357995,0.0221608477432411,0.942062638890476,0.600257333648645
0.432394923443062,0.00905145275635234,0.47280288294002,0.441907152238296,0.116799112226812,0.000265206412982696,0.00038820885163221,0.0218073945573307,0.952849104530042,0.667143848654208
0.523955109576755,0.00847946802247353,0.306766258551051,0.443203756714443,0.14322874338675,0.000340422619668079,0.000311184695043157,0.0291710121101638,0.95102576743814,0.65230304365305
0.502302501883917,0.00822784857097572,0.395661619074756,0.469447505246502,0.130780333293666,0.000435298225740967,0.000653189355169296,0.0272040066437111,0.945804414634995,0.72092579660972
