"time","top","med","bottom","date"
0,0.00129199938815801,0.000664369658271283,3.67399283845587e-05,2021-04-23
0.5,0.0012409802721653,0.000638652249703434,3.63242272415689e-05,2021-04-23
1,0.00124557909842871,0.000640750709457395,3.59223204860775e-05,2021-04-24
1.5,0.00125917611333713,0.000647354968032814,3.55338227284995e-05,2021-04-24
2,0.00127260594987596,0.000653882157587949,3.51583652999402e-05,2021-04-25
2.5,0.00128586216540451,0.000660328880509616,3.4795595614723e-05,2021-04-25
3,0.0012989384905076,0.000666691833537503,3.44451765674049e-05,2021-04-26
3.5,0.00132552764857444,0.000679817217268574,3.41067859627054e-05,2021-04-26
4,0.00136326280347204,0.000698521459724456,3.37801159768708e-05,2021-04-27
4.5,0.00140136809748253,0.000717416485065814,3.34648726490944e-05,2021-04-27
5,0.00143981803259713,0.000736489403999413,3.31607754016996e-05,2021-04-28
5.5,0.00147858613959629,0.000755726848092087,3.28675565878812e-05,2021-04-28
6,0.00151764501493159,0.000775114987998736,3.25849610658804e-05,2021-04-29
6.5,0.00155696636100034,0.000794639553399441,3.23127457985449e-05,2021-04-29
7,0.00159652102976109,0.000814285854619194,3.20506794773025e-05,2021-04-30
7.5,0.0016362790696226,0.00083403880589612,3.17985421696434e-05,2021-04-30
8,0.00167620977552338,0.000853676910573416,3.11440456234548e-05,2021-05-01
8.5,0.00171628174210321,0.000871978634036591,2.7675525969974e-05,2021-05-01
9,0.00175646291985244,0.000890533660091515,2.46044003305875e-05,2021-05-02
9.5,0.00179672067410914,0.000909302297986677,2.1883921864219e-05,2021-05-02
10,0.00183702184675867,0.000928247414070076,1.94729813814852e-05,2021-05-03
10.5,0.00187733282047521,0.000947334115823561,1.73354111719085e-05,2021-05-03
11,0.00191761958532963,0.000966529481041655,1.54393767536762e-05,2021-05-04
11.5,0.00195784780757385,0.000985802326388389,1.37568452029325e-05,2021-05-04
12,0.00199798290039797,0.00100512301030522,1.22631202124727e-05,2021-05-05
12.5,0.00203799009644331,0.00102446326588289,1.09364353224684e-05,2021-05-05
13,0.00207783452184184,0.0010437960598638,9.75759788575498e-06,2021-05-06
13.5,0.0021174812715413,0.00106309547442103,8.70967730076041e-06,2021-05-06
14,0.00215689548566442,0.00108233660877551,7.77773188660733e-06,2021-05-07
14.5,0.00219604242664132,0.00110149549807304,6.94856950475725e-06,2021-05-07
15,0.00223488755684577,0.00112054904725531,6.21053766485077e-06,2021-05-08
15.5,0.00227339661645868,0.00113947497793041,5.55333940213984e-06,2021-05-08
16,0.00231153570127674,0.00115825178648404,4.96787169132911e-06,2021-05-09
16.5,0.00234927134017926,0.00117685871187785,4.4460835764356e-06,2021-05-09
17,0.00238657057196361,0.00119527571176021,3.98085155680916e-06,2021-05-10
17.5,0.00242340102125793,0.00121348344567045,3.56587008296345e-06,2021-05-10
18,0.00245973097321997,0.00123146326425428,3.19555528859976e-06,2021-05-11
18.5,0.00249552944673221,0.00124919720352739,2.86496032256961e-06,2021-05-11
19,0.00253076626580713,0.00126666798332916,2.56970085119284e-06,2021-05-12
19.5,0.00256541212892056,0.00128385900920096,2.30588948137268e-06,2021-05-12
20,0.00259943867599797,0.0013007543770049,2.07007801183118e-06,2021-05-13
20.5,0.00263281855278622,0.00131733887967139,1.85920655656136e-06,2021-05-13
21,0.00266552547235266,0.00133359801552827,1.670558703886e-06,2021-05-14
21.5,0.00269753427346466,0.00134951799772163,1.50172197860518e-06,2021-05-14
22,0.00272882097561484,0.00136508576429021,1.3505529655819e-06,2021-05-15
22.5,0.0027593628304713,0.00138028898850189,1.21514653247174e-06,2021-05-15
23,0.00278913836954682,0.00139511608910273,1.09380865863561e-06,2021-05-16
23.5,0.00281812744789782,0.00140955624016785,9.85032437876971e-07,2021-05-16
24,0.00284631128368098,0.00142359938027831,8.87476875637523e-07,2021-05-17
24.5,0.00287367249341389,0.00143723622078077,7.99948147644032e-07,2021-05-17
25,0.00290019512280552,0.00145045825291655,7.21383027570706e-07,2021-05-18
25.5,0.00292586467304258,0.00146325775363469,6.50834226804167e-07,2021-05-18
26,0.0029506681224382,0.00147562778992936,5.87457420512475e-07,2021-05-19
26.5,0.00297459394337115,0.00148756222156632,5.30499761484536e-07,2021-05-19
27,0.00299763211446522,0.00149905570208616,4.79289707107569e-07,2021-05-20
