"time","top","med","bottom","date"
0,0.0300750307236392,0.0229933939411232,0.0159117571586072,2021-04-23
0.5,0.0301749801809304,0.0230851410935333,0.0159953020061363,2021-04-23
1,0.0302716668491925,0.0231768135468306,0.0160819602444687,2021-04-24
1.5,0.0303652656035464,0.0232685139639458,0.0161717623243452,2021-04-24
2,0.0304559421947525,0.0233603408004757,0.016264739406199,2021-04-25
2.5,0.0305438537277283,0.0234523885096427,0.016360923291557,2021-04-25
3,0.0306291491151816,0.0235447477354012,0.0164603463556208,2021-04-26
3.5,0.0307119695076619,0.0236375054943437,0.0165630414810256,2021-04-26
4,0.0307924487012681,0.023730745347025,0.0166690419927819,2021-04-27
4.5,0.0308707135241835,0.0238245475592983,0.0167783815944132,2021-04-27
5,0.0309468842031495,0.0239189892542262,0.0168910943053028,2021-04-28
5.5,0.0310210747109313,0.0240141445551023,0.0170072143992734,2021-04-28
6,0.0310933930957733,0.0241100847200994,0.0171267763444255,2021-04-29
6.5,0.0311639417937927,0.0242068782690286,0.0172498147442645,2021-04-29
7,0.0312328179252069,0.0243045911026809,0.017376364280155,2021-04-30
7.5,0.0313001135752462,0.024403286615193,0.0175064596551399,2021-04-30
8,0.0313659160605596,0.0245030257998656,0.0176401355391717,2021-05-01
8.5,0.0314303081818769,0.0246038673488398,0.0177774265158027,2021-05-01
9,0.0314933684636544,0.0247058677470214,0.0179183670303883,2021-05-02
9.5,0.03155517138139,0.0248090813606246,0.0180629913398592,2021-05-02
10,0.0316157875772619,0.0249132231657531,0.0182106587542443,2021-05-03
10.5,0.0316752840647082,0.0249733557326217,0.0182714274005352,2021-05-03
11,0.0317337244225348,0.0250332775706953,0.0183328307188558,2021-05-04
11.5,0.0317911689791075,0.0250807127911785,0.0183702566032495,2021-05-04
12,0.031847674987157,0.0251135089075309,0.0183793428279049,2021-05-05
12.5,0.0319032967896966,0.0251457259913697,0.0183881551930427,2021-05-05
13,0.0319580859775283,0.0251774037363702,0.018396721495212,2021-05-06
13.5,0.0320120915387878,0.0252085799367707,0.0184050683347537,2021-05-06
14,0.0320653600009562,0.0252392905995921,0.018413221198228,2021-05-07
14.5,0.0321179355657447,0.0252695700510443,0.0184212045363439,2021-05-07
15,0.0321698602372368,0.0252994510374574,0.0184290418376779,2021-05-08
15.5,0.0324028329603452,0.0254197943293979,0.0184367556984505,2021-05-08
16,0.0326780306055265,0.0255611992470728,0.0184443678886191,2021-05-09
16.5,0.0329587084330186,0.0257053039237748,0.018451899414531,2021-05-09
17,0.0332448236815276,0.0258520971299483,0.018459370578369,2021-05-10
17.5,0.0335363314825656,0.026001566258588,0.0184668010346104,2021-05-10
18,0.0338331848425581,0.0261536973431352,0.0184742098437123,2021-05-11
18.5,0.0341353346361283,0.0263084750796758,0.0184816155232232,2021-05-11
19,0.0344427296103315,0.0264658828534234,0.0184890360965154,2021-05-12
19.5,0.0347553163995944,0.0266259027694583,0.0184964891393221,2021-05-12
20,0.0350730395510982,0.0267885156876787,0.0185039918242591,2021-05-13
20.5,0.0353958415603237,0.0269537012619111,0.0185115609634984,2021-05-13
21,0.0357236629164597,0.0271214379831112,0.0185192130497626,2021-05-14
21.5,0.0360564421573553,0.0272917032265755,0.0185269642957958,2021-05-14
22,0.0363941159336777,0.0274644733030723,0.0185348306724669,2021-05-15
22.5,0.036736619081919,0.0276397235137864,0.0185428279456537,2021-05-15
23,0.0370838847058752,0.0278174282089643,0.0185509717120535,2021-05-16
23.5,0.0375301910218373,0.0280447342279491,0.018559277434061,2021-05-16
24,0.0380909297090992,0.0283293450914756,0.018567760473852,2021-05-17
24.5,0.0386626406556051,0.0286195383912065,0.0185764361268079,2021-05-17
25,0.0392452892473209,0.0289153044508672,0.0185853196544134,2021-05-18
25.5,0.0398388332887384,0.0292166298027486,0.0185944263167588,2021-05-18
26,0.0404432230934268,0.0295234972491,0.0186037714047732,2021-05-19
26.5,0.0410584015938677,0.0298358859330934,0.0186133702723191,2021-05-19
27,0.0416843044701489,0.0301537714192097,0.0186232383682706,2021-05-20
27.5,0.0423208602969964,0.0304771257828494,0.0186333912687024,2021-05-20
28,0.0429679907085325,0.0308059177089229,0.0186438447093133,2021-05-21
28.5,0.0436256105800543,0.0311401125991305,0.0186546146182067,2021-05-21
29,0.0442936282260386,0.0314796726875961,0.0186657171491536,2021-05-22
29.5,0.0449719456134958,0.0318245571644777,0.0186771687154596,2021-05-22
30,0.0456604585897085,0.0321747223071346,0.0186889860245608,2021-05-23
30.5,0.0463590571233196,0.032530121618396,0.0187011861134723,2021-05-23
31,0.0470676255576567,0.0328907059714354,0.0187137863852141,2021-05-24
31.5,0.0477860428751162,0.0332564237607274,0.0187268046463387,2021-05-24
32,0.0485141829713697,0.0336272210585287,0.0187402591456877,2021-05-25
32.5,0.0492519149380994,0.0340030417763019,0.0187541686145044,2021-05-25
33,0.0499991033529251,0.0343838278304772,0.0187685523080293,2021-05-26
33.5,0.0507556085751445,0.0347695193119267,0.0187834300487089,2021-05-26
34,0.0515212870458765,0.0351600546585121,0.0187988222711476,2021-05-27
34.5,0.0522959915911753,0.0355553708300551,0.018814750068935,2021-05-27
35,0.0530795717266668,0.0359554034850735,0.0188312352434802,2021-05-28
35.5,0.053871873962252,0.0363600871586209,0.0188483003549897,2021-05-28
36,0.0546727421054257,0.0367693554405737,0.0188659687757217,2021-05-29
36.5,0.0554820175617662,0.0371831411537111,0.0188842647456559,2021-05-29
37,0.056299539631175,0.0376013765309453,0.0189032134307155,2021-05-30
37.5,0.0571251457984693,0.0380239933910755,0.0189228409836817,2021-05-30
38,0.057958672016969,0.0384509233124543,0.0189431746079397,2021-05-31
38.5,0.0587999529837629,0.0388820978039812,0.0189642426241994,2021-05-31
39,0.0596488224053917,0.0393174484728616,0.0189860745403315,2021-06-01
39.5,0.0605051132527442,0.0397569071886029,0.0190087011244617,2021-06-01
40,0.0613686580040322,0.0402004062427505,0.0190321544814687,2021-06-02
40.5,0.062239288874782,0.0406478785039043,0.0190564681330267,2021-06-02
41,0.0631168380338613,0.0410992575675996,0.019081677101338,2021-06-03
41.5,0.0640011378046464,0.0415544779006731,0.0191078179966997,2021-06-03
42,0.0648920208505273,0.0420134749797867,0.019134929109046,2021-06-04
42.5,0.0657893203440423,0.0424761854238257,0.0191630505036092,2021-06-04
43,0.0666928701190372,0.042942547119939,0.0191922241208409,2021-06-05
43.5,0.0676025048053452,0.0434124993430385,0.0192224938807318,2021-06-05
44,0.0685180599455926,0.0438859828686305,0.0192539057916685,2021-06-06
44.5,0.0694393720938423,0.0443629400789014,0.0192865080639605,2021-06-06
45,0.0703662788959003,0.0448433150620355,0.0193203512281708,2021-06-07
45.5,0.0712986191512179,0.0453270537047972,0.0193554882583764,2021-06-07
46,0.0722362328564369,0.0458141037784602,0.0193919747004835,2021-06-08
46.5,0.0731789612307324,0.0463044150182232,0.019429868805714,2021-06-08
47,0.0741266467232208,0.0467979391962995,0.0194692316693782,2021-06-09
47.5,0.0750791330028032,0.0472946301889206,0.0195101273750379,2021-06-09
48,0.0760362649309232,0.0477944440375408,0.0195526231441585,2021-06-10
48.5,0.0769978885178159,0.0482973390045782,0.0195967894913406,2021-06-10
49,0.0779638508629251,0.0488032756240681,0.0196427003852111,2021-06-11
49.5,0.0789340000802539,0.0493122167476487,0.0196904334150434,2021-06-11
50,0.0799081852095083,0.0498241275863365,0.0197400699631648,2021-06-12
50.5,0.0808862561139666,0.0503389757485811,0.0197916953831956,2021-06-12
51,0.081868063366092,0.0508567312751214,0.0198453991841507,2021-06-13
51.5,0.0828534581219674,0.051377366671193,0.0199012752204186,2021-06-13
52,0.083842291985699,0.051900856936656,0.0199594218876129,2021-06-14
52.5,0.0848344168649875,0.0524271795946324,0.0200199423242773,2021-06-14
53,0.0858296848191125,0.0529563147192552,0.0200829446193979,2021-06-15
53.5,0.0868279479006176,0.0534882449631392,0.0201485420256607,2021-06-15
54,0.0878290579920124,0.0540229555851864,0.0202168531783604,2021-06-16
54.5,0.0888328666388306,0.0545604344793387,0.0202880023198469,2021-06-16
55,0.0898392248804002,0.0551006722048803,0.0203621195293604,2021-06-17
55.5,0.0908479830796855,0.055643662018883,0.0204393409580805,2021-06-17
56,0.0918589907535589,0.0561893999113674,0.020519809069176,2021-06-18
56.5,0.0928720964048518,0.0567378846437303,0.0206036728826088,2021-06-18
57,0.0938871473575114,0.0572891177909583,0.0206910882244052,2021-06-19
57.5,0.094903989596168,0.0578431037881172,0.0207822179800664,2021-06-19
58,0.0959224676113779,0.0583998499815606,0.0208772323517432,2021-06-20
58.5,0.0969424242517694,0.0589593666852625,0.0209763091187557,2021-06-20
59,0.0979637005842664,0.0595216672426247,0.0210796339009831,2021-06-21
59.5,0.0989861357635109,0.0600867680940544,0.0211874004245979,2021-06-21
60,0.10030674541121,0.0608032781003841,0.0212998107895581,2021-06-22
60.5,0.101708066081479,0.0615625709098452,0.0214170757382116,2021-06-22
61,0.103113291446709,0.0623263531855045,0.0215394149243003,2021-06-23
61.5,0.104521886448766,0.0630944718151748,0.0216670571815835,2021-06-23
62,0.105933309946697,0.0638667753689619,0.0218002407912267,2021-06-24
62.5,0.107347015333971,0.0646431145404992,0.0219392137470276,2021-06-24
63,0.108762451184175,0.0654233426008214,0.0220842340174675,2021-06-25
63.5,0.11017906192365,0.0662073158635733,0.022235569803497,2021-06-25
64,0.111596288529327,0.0669948941600995,0.0223934997908722,2021-06-26
64.5,0.11301356924984,0.0677859413228058,0.0225583133957713,2021-06-26
65,0.114430340347758,0.0685803256750408,0.0227303110023231,2021-06-27
65.5,0.115846036860628,0.0693779205256051,0.0229098041905827,2021-06-27
66,0.117260093378338,0.0701786046658632,0.0230971159533888,2021-06-28
66.5,0.118671944834182,0.0709822628673069,0.0232925809004324,2021-06-28
67,0.120081027306853,0.0717887863773063,0.0234965454477595,2021-06-29
67.5,0.12148677883052,0.0725980734106731,0.0237093679908263,2021-06-29
68,0.122888640210029,0.0734100296345696,0.0239314190591097,2021-06-30
68.5,0.124286055838241,0.0742245686442056,0.0241630814501704,2021-06-30
69,0.12567847451244,0.0750022856923787,0.024326096872317,2021-07-01
69.5,0.127502619182823,0.0759352850916652,0.0243679510005077,2021-07-01
70,0.129474867923368,0.0769431581213919,0.0244114483194153,2021-07-02
70.5,0.131459676132647,0.0779581745728441,0.0244566730130417,2021-07-02
71,0.133456077736148,0.0789798956431324,0.0245037135501167,2021-07-03
71.5,0.135463075064112,0.0800078689832441,0.0245526629023759,2021-07-03
72,0.137479641023508,0.0810416298984951,0.0246036187734822,2021-07-04
72.5,0.139504721412405,0.0820807026257284,0.0246566838390517,2021-07-04
73,0.141537237364679,0.0831246016814704,0.0247119659982617,2021-07-05
73.5,0.143576087912019,0.084172833274774,0.0247695786375291,2021-07-05
74,0.145620152649348,0.0852248967780528,0.0248296409067579,2021-07-06
74.5,0.147668294489049,0.0862802862488591,0.0248922780086694,2021-07-06
75,0.149719362488805,0.0873384919952695,0.0249576215017339,2021-07-07
75.5,0.151772194737412,0.0883990021773238,0.0250258096172351,2021-07-07
76,0.153825621282649,0.0894613044368256,0.0250969875910025,2021-07-08
76.5,0.15587846708512,0.0905248875477374,0.0251713080103546,2021-07-08
77,0.157929554982025,0.0915892430794103,0.0252489311767957,2021-07-09
77.5,0.159977708644902,0.0926538670649581,0.0253300254850139,2021-07-09
78,0.162021755515744,0.093718261667232,0.0254147678187205,2021-07-10
78.5,0.164060529706238,0.0947819368350537,0.0255033439638694,2021-07-10
79,0.166092874845485,0.0958444119426343,0.0255959490397832,2021-07-11
79.5,0.168117646862159,0.0969052174054291,0.0256927879486995,2021-07-11
80,0.170133716687858,0.0979638962660455,0.025794075844233,2021-07-12
80.5,0.172139972869264,0.0990200057442435,0.0259000386192228,2021-07-12
81,0.174135324077618,0.100073118745512,0.0260109134134062,2021-07-13
81.5,0.176118701505065,0.101122825323193,0.0261269491413215,2021-07-13
82,0.178089061138456,0.102168734089626,0.0262484070407958,2021-07-14
82.5,0.18004538590229,0.103210473572307,0.026375561242324,2021-07-14
83,0.181986687663601,0.104247693511589,0.0265086993595767,2021-07-15
83.5,0.18391200909275,0.105280066096977,0.0266481231012033,2021-07-15
84,0.185820425375186,0.106307287139598,0.0267941489040108,2021-07-16
84.5,0.187711045770412,0.107329077178955,0.0269471085874969,2021-07-16
85,0.189583015015473,0.108345182522539,0.0271073500296054,2021-07-17
85.5,0.191435514571361,0.109355376217401,0.0272752378634412,2021-07-17
86,0.193267763711808,0.110359458953171,0.0274511541945345,2021-07-18
86.5,0.195079020454871,0.111357259896477,0.0276354993380826,2021-07-18
87,0.196868582338726,0.112348637457066,0.0278286925754053,2021-07-19
87.5,0.198635787043894,0.113333479986272,0.0280311729286501,2021-07-19
88,0.200380012864993,0.114311706408769,0.0282433999525443,2021-07-20
88.5,0.20210067903583,0.115283266788785,0.0284658545417396,2021-07-20
89,0.203797245912328,0.116248142832167,0.0286990397520057,2021-07-21
89.5,0.205469215018387,0.117206348325803,0.028943481633218,2021-07-21
90,0.207116128960315,0.118157929516026,0.0291997300717371,2021-07-22
90.5,0.208737571215913,0.119102965427656,0.0294683596394004,2021-07-22
91,0.210333165804696,0.120041568125314,0.0297499704459317,2021-07-23
91.5,0.211902576846039,0.120973882918582,0.0300451889911243,2021-07-23
